Disease trait	EFO term	EFO URI	Parent term	Parent URI
Insulin sensitivity index	insulin sensitivity measurement	http://www.ebi.ac.uk/efo/EFO_0004471	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Metabolite levels	insulin sensitivity measurement	http://www.ebi.ac.uk/efo/EFO_0004471	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Modified Stumvoll Insulin Sensitivity Index	insulin sensitivity measurement	http://www.ebi.ac.uk/efo/EFO_0004471	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	insulin sensitivity measurement	http://www.ebi.ac.uk/efo/EFO_0004471	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI)	insulin sensitivity measurement	http://www.ebi.ac.uk/efo/EFO_0004471	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Obesity-related traits	insulin sensitivity measurement	http://www.ebi.ac.uk/efo/EFO_0004471	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
High light scatter reticulocyte count	reticulocyte count	http://www.ebi.ac.uk/efo/EFO_0007986	Hematological measurement	http://www.ebi.ac.uk/efo/EFO_0004503
High light scatter reticulocyte percentage of red cells	reticulocyte count	http://www.ebi.ac.uk/efo/EFO_0007986	Hematological measurement	http://www.ebi.ac.uk/efo/EFO_0004503
Immature fraction of reticulocytes	reticulocyte count	http://www.ebi.ac.uk/efo/EFO_0007986	Hematological measurement	http://www.ebi.ac.uk/efo/EFO_0004503
Reticulocyte count	reticulocyte count	http://www.ebi.ac.uk/efo/EFO_0007986	Hematological measurement	http://www.ebi.ac.uk/efo/EFO_0004503
Reticulocyte fraction of red cells	reticulocyte count	http://www.ebi.ac.uk/efo/EFO_0007986	Hematological measurement	http://www.ebi.ac.uk/efo/EFO_0004503
Change in glucose in response to thiazide diuretic treatment in hypertension	response to thiazide	http://www.ebi.ac.uk/efo/EFO_0007981	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Diastolic blood pressure in combination therapy (beta blocker and thiazide diuretic)	response to thiazide	http://www.ebi.ac.uk/efo/EFO_0007981	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
QT interval (drug interaction)	response to thiazide	http://www.ebi.ac.uk/efo/EFO_0007981	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Systolic blood pressure in combination therapy (beta blocker and thiazide diuretic)	response to thiazide	http://www.ebi.ac.uk/efo/EFO_0007981	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Uncontrolled blood pressure in combination therapy (beta blocker and thiazide diuretic)	response to thiazide	http://www.ebi.ac.uk/efo/EFO_0007981	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Cerebral blood flow	cerebral blood flow measurement	http://www.ebi.ac.uk/efo/EFO_0007980	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Allergic dermatitis (nickel)	contact dermatitis due to nickel	http://www.ebi.ac.uk/efo/EFO_0005320	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
HIV-associated neurocognitive disorder (asymptomatic neurocogntive impairment)	asymptomatic neurocognitive impairment	http://www.ebi.ac.uk/efo/EFO_0007983	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
HIV-associated neurocognitive disorder (mild neurocognitive disorder or asymptomatic neurocognitive impairment)	asymptomatic neurocognitive impairment	http://www.ebi.ac.uk/efo/EFO_0007983	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Age-related diseases and mortality	heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Age-related diseases, mortality and associated endophenotypes	heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Heart failure	heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Heart rate in heart failure with reduced ejection fraction	heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Mortality in heart failure	heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
HIV-associated neurocognitive disorder (mild neurocognitive disorder or asymptomatic neurocognitive impairment)	mild neurocognitive disorder	http://www.ebi.ac.uk/efo/EFO_0007982	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
HIV-associated neurocognitive disorder (mild neurocognitive disorder)	mild neurocognitive disorder	http://www.ebi.ac.uk/efo/EFO_0007982	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Molar-incisor hypomineralization	molar-incisor hypomineralization	http://www.ebi.ac.uk/efo/EFO_0005321	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Neutrophil percentage of white cells	neutrophil percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007990	Hematological measurement	http://www.ebi.ac.uk/efo/EFO_0004503
Breast milk fatty acid composition (infant genotype effect)	fetal genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007959	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Early gestational weight gain (fetal effect)	fetal genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007959	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Gestational weight gain (fetal effect)	fetal genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007959	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Late gestational weight gain (fetal effect)	fetal genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007959	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational circulating levels of PBDEs (fetal genetic effect)	fetal genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007959	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational circulating levels of PCBs (fetal genetic effect)	fetal genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007959	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational circulating levels of organochlorine pesticides (fetal genetic effect)	fetal genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007959	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational cytokine/chemokine levels (fetal genetic effect)	fetal genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007959	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Neonatal cytokine/chemokine levels (fetal genetic effect)	fetal genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007959	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Monocyte-lymphocyte ratio	monocyte:lymphocyte ratio	http://www.ebi.ac.uk/efo/EFO_0007956	Hematological measurement	http://www.ebi.ac.uk/efo/EFO_0004503
Facial morphology (factor 12, vertical position of sublabial sulcus relative to central midface)	mouth morphology measurement	http://www.ebi.ac.uk/efo/EFO_0007955	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Facial morphology (factor 13, vertical position of alar curvature relative to upper lip)	mouth morphology measurement	http://www.ebi.ac.uk/efo/EFO_0007955	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Facial morphology (factor 5, width of mouth relative to central midface)	mouth morphology measurement	http://www.ebi.ac.uk/efo/EFO_0007955	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Mouth morphology (partial least square model)	mouth morphology measurement	http://www.ebi.ac.uk/efo/EFO_0007955	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Mouth morphology (principal component model)	mouth morphology measurement	http://www.ebi.ac.uk/efo/EFO_0007955	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Urinary 1,3-butadiene metabolite levels in smokers	urinary 1,3-butadiene measurement	http://www.ebi.ac.uk/efo/EFO_0007957	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Blood protein levels	ferritin measurement	http://www.ebi.ac.uk/efo/EFO_0004459	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Cardiovascular disease risk factors	ferritin measurement	http://www.ebi.ac.uk/efo/EFO_0004459	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Ferritin levels	ferritin measurement	http://www.ebi.ac.uk/efo/EFO_0004459	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Iron status biomarkers	ferritin measurement	http://www.ebi.ac.uk/efo/EFO_0004459	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Iron status biomarkers (ferritin levels)	ferritin measurement	http://www.ebi.ac.uk/efo/EFO_0004459	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Protein quantitative trait loci	ferritin measurement	http://www.ebi.ac.uk/efo/EFO_0004459	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
C-reactive protein	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
C-reactive protein (red blood cell fatty acid level interaction)	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
C-reactive protein and white blood cell count	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
C-reactive protein levels	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
C-reactive protein levels in ischemic stroke	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
C-reactive protein levels or HDL-cholesterol levels (pleiotropy)	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
C-reactive protein levels or LDL-cholesterol levels (pleiotropy)	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
C-reactive protein levels or total cholesterol levels (pleiotropy)	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
C-reactive protein levels or triglyceride levels (pleiotropy)	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
Cardiometabolic traits	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
Cardiovascular disease risk factors	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
Chronic obstructive pulmonary disease-related biomarkers	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
Cognitive impairment and C-reactive protein levels (pleiotropy)	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
Inflammatory biomarkers	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
Inflammatory biomarkers in Kawasaki disease	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
Multiple sclerosis and C-reactive protein levels (pleiotropy)	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
Obesity-related traits	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
Protein quantitative trait loci	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
Quantitative traits	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
Select biomarker traits	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
group IIA secretory phospholipase A2 levels in individuals with elevated hsCRP	c-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	Inflammatory measurement	http://www.ebi.ac.uk/efo/EFO_0004872
Blood osmolality (transformed sodium)	blood osmolality measurement	http://www.ebi.ac.uk/efo/EFO_0007967	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Clopidogrel active metabolite levels	clopidogrel metabolite measurement	http://www.ebi.ac.uk/efo/EFO_0007966	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Executive inhibition (Stroop WIT and CIT) in attention deficit hyperactivity disorder	cognitive inhibition measurement	http://www.ebi.ac.uk/efo/EFO_0007969	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Drug-induced torsades de pointes	torsades de pointes	http://www.ebi.ac.uk/efo/EFO_0005307	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Tissue factor pathway inhibitor levels	tissue factor pathway inhibitor measurement	http://www.ebi.ac.uk/efo/EFO_0007968	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Acute lymphoblastic leukemia (B-cell precursor)	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Acute lymphoblastic leukemia in childhood (B cell precursor)	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
B cell acute lymphoblastic leukaemia (Philadelphia chromosome negative)	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
B cell acute lymphoblastic leukaemia (abnormal cytogenetics)	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
B cell acute lymphoblastic leukaemia (hyperdiploid negative)	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
B cell acute lymphoblastic leukaemia (normal cytogenetics)	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
B cell acute lymphoblastic leukaemia in adulthood	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
B cell acute lymphoblastic leukaemia in young adulthood	B-cell acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000094	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Paneth cell defects in Crohn's disease	abnormal paneth cell measurement	http://www.ebi.ac.uk/efo/EFO_0007963	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Word reading	word reading	http://www.ebi.ac.uk/efo/EFO_0005300	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Latent naming speed	reading and spelling ability	http://www.ebi.ac.uk/efo/EFO_0005301	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Phoneme awareness	reading and spelling ability	http://www.ebi.ac.uk/efo/EFO_0005301	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Rapid alternating stimulus test for letters/numbers	reading and spelling ability	http://www.ebi.ac.uk/efo/EFO_0005301	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Rapid automised naming and rapid alternating stimulus test performance	reading and spelling ability	http://www.ebi.ac.uk/efo/EFO_0005301	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Rapid automised naming of digits	reading and spelling ability	http://www.ebi.ac.uk/efo/EFO_0005301	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Rapid automised naming of letters	reading and spelling ability	http://www.ebi.ac.uk/efo/EFO_0005301	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Rapid automised naming of objects	reading and spelling ability	http://www.ebi.ac.uk/efo/EFO_0005301	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Rapid automised naming of pictures	reading and spelling ability	http://www.ebi.ac.uk/efo/EFO_0005301	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Reading and spelling	reading and spelling ability	http://www.ebi.ac.uk/efo/EFO_0005301	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Word spelling	reading and spelling ability	http://www.ebi.ac.uk/efo/EFO_0005301	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Midgestational circulating levels of PBDEs	polybrominated diphenyl ether measurement	http://www.ebi.ac.uk/efo/EFO_0007962	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational circulating levels of PBDEs (fetal genetic effect)	polybrominated diphenyl ether measurement	http://www.ebi.ac.uk/efo/EFO_0007962	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Alanine aminotransferase (ALT) levels after remission induction therapy in actute lymphoblastic leukemia (ALL)	response to combination chemotherapy	http://www.ebi.ac.uk/efo/EFO_0007965	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Bone mineral density change response to combined chemotherapy in acute lymphoblastic leukemia	response to combination chemotherapy	http://www.ebi.ac.uk/efo/EFO_0007965	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Follicular lymphoma	neoplasm of mature b-cells	http://www.ebi.ac.uk/efo/EFO_0000096	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Primary central nervous system lymphoma	central nervous system non-hodgkin lymphoma	http://purl.obolibrary.org/obo/MONDO_0044887	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
B-cell malignancies (chronic lymphocytic leukemia, Hodgkin lymphoma or multiple myeloma) (pleiotropy)	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Chronic lymphocytic leukemia	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Chronic lymphocytic leukemia or multiple sclerosis	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Chronic lymphocytic leukemia or rheumatoid arthritis	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Chronic lymphocytic leukemia or systemic lupus erythematosus	chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000095	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Midgestational circulating levels of PBDEs	gestational serum measurement	http://www.ebi.ac.uk/efo/EFO_0007964	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational circulating levels of PBDEs (fetal genetic effect)	gestational serum measurement	http://www.ebi.ac.uk/efo/EFO_0007964	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational circulating levels of PCBs	gestational serum measurement	http://www.ebi.ac.uk/efo/EFO_0007964	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational circulating levels of PCBs (fetal genetic effect)	gestational serum measurement	http://www.ebi.ac.uk/efo/EFO_0007964	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational circulating levels of organochlorine pesticides	gestational serum measurement	http://www.ebi.ac.uk/efo/EFO_0007964	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational circulating levels of organochlorine pesticides (fetal genetic effect)	gestational serum measurement	http://www.ebi.ac.uk/efo/EFO_0007964	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational cytokine/chemokine levels (fetal genetic effect)	gestational serum measurement	http://www.ebi.ac.uk/efo/EFO_0007964	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational cytokine/chemokine levels (maternal genetic effect)	gestational serum measurement	http://www.ebi.ac.uk/efo/EFO_0007964	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Adult hearing aid use	age-related hearing impairment	http://www.ebi.ac.uk/efo/EFO_0005782	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Adult hearing difficulty	age-related hearing impairment	http://www.ebi.ac.uk/efo/EFO_0005782	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Age-related hearing impairment	age-related hearing impairment	http://www.ebi.ac.uk/efo/EFO_0005782	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Age-related hearing impairment (SNP x SNP interaction)	age-related hearing impairment	http://www.ebi.ac.uk/efo/EFO_0005782	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Midgestational circulating levels of PBDEs	polybrominated biphenyl measurement	http://www.ebi.ac.uk/efo/EFO_0007961	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational circulating levels of PBDEs (fetal genetic effect)	polybrominated biphenyl measurement	http://www.ebi.ac.uk/efo/EFO_0007961	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational circulating levels of organochlorine pesticides	organochlorine pesticide measurement	http://www.ebi.ac.uk/efo/EFO_0007960	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Midgestational circulating levels of organochlorine pesticides (fetal genetic effect)	organochlorine pesticide measurement	http://www.ebi.ac.uk/efo/EFO_0007960	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Aortic-valve calcification	aortic valve calcification	http://www.ebi.ac.uk/efo/EFO_0005239	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Calcific aortic valve stenosis	aortic valve calcification	http://www.ebi.ac.uk/efo/EFO_0005239	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Carotenoid levels (cryptoxanthin)	cryptoxanthin measurement	http://www.ebi.ac.uk/efo/EFO_0007897	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Carotenoid levels (zeaxanthin)	zeaxanthin measurement	http://www.ebi.ac.uk/efo/EFO_0007896	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
High fetal hemoglobin in sickle cell disease	Sickle cell disease and related diseases	http://www.orpha.net/ORDO/Orphanet_275752	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Vitamin E levels (gamma-tocopherol)	gamma-tocopherol measurement	http://www.ebi.ac.uk/efo/EFO_0007899	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Vitamin E levels (alpha-tocopherol)	alpha-tocopherol measurement	http://www.ebi.ac.uk/efo/EFO_0007898	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Anxiety	anxiety	http://www.ebi.ac.uk/efo/EFO_0005230	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Anxiety and major depressive disorder	anxiety	http://www.ebi.ac.uk/efo/EFO_0005230	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Anxiety in major depressive disorder	anxiety	http://www.ebi.ac.uk/efo/EFO_0005230	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Worry	anxiety	http://www.ebi.ac.uk/efo/EFO_0005230	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Carotenoid levels (alpha-carotene)	alpha-carotene measurement	http://www.ebi.ac.uk/efo/EFO_0007893	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Acute graft rejection in renal transplantation (donor effect)	donor genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007892	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Acute graft rejection in renal transplantation (donor-recipient interaction)	donor genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007892	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Acute graft versus host disease in bone marrow transplantation (donor effect)	donor genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007892	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Estimated glomerular filtration rate after 1 year in renal transplantation (donor effect)	donor genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007892	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Estimated glomerular filtration rate after 5 years in renal transplantation (donor effect)	donor genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007892	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Estimated glomerular filtration rate change in renal transplantation (donor effect)	donor genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007892	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Graft survival time in renal transplantation (donor effect)	donor genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007892	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Graft survival time in renal transplantation (donor-recipient interaction)	donor genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0007892	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Carotenoid levels (lutein)	lutein measurement	http://www.ebi.ac.uk/efo/EFO_0007895	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Carotenoid levels (beta-carotene)	beta-carotene measurement	http://www.ebi.ac.uk/efo/EFO_0007894	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Toxicity response to radiotherapy in prostate cancer (increased urinary frequency) (time to event)	Abnormality of the urinary system	http://purl.obolibrary.org/obo/HP_0000079	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Rhegmatogenous retinal detachment	rhegmatogenous retinal detachment	http://www.ebi.ac.uk/efo/EFO_0005240	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Non-small cell lung cancer	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Non-small cell lung cancer (recurrence rate)	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Non-small cell lung cancer (survival)	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Non-small cell lung cancer in heavy smokers	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Platinum-induced hepatotoxicity in non-small cell lung cancer	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Platinum-induced myelosuppression in non-small cell lung cancer	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Response to irinotecan and platinum-based chemotherapy in non-small-cell lung cancer	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Response to irinotecan in non-small-cell lung cancer	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Response to platinum-based chemotherapy in non-small-cell lung cancer	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Response to platinum-based chemotherapy in non-small-cell lung cancer (progression)	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
