	STUDY ACCESSION	DISEASE/TRAIT	Disease trait	Parent term
11178	GCST007317	Response to ketamine in bipolar disorder or major depression (dissociation effects)	Response to ketamine in bipolar disorder or major depression (dissociation effects)	Other measurement
11179	GCST009156	Uterine fibroids and heavy menstrual bleeding	Uterine fibroids and heavy menstrual bleeding	Cancer
11180	GCST009156	Uterine fibroids and heavy menstrual bleeding	Uterine fibroids and heavy menstrual bleeding	Other trait
11181	GCST009157	Heavy menstrual bleeding	Heavy menstrual bleeding	Other trait
11182	GCST009158	Uterine fibroids	Uterine fibroids	Cancer
11183	GCST008754	Spontaneous preterm birth (preterm birth)	Spontaneous preterm birth (preterm birth)	Other measurement
11184	GCST008754	Spontaneous preterm birth (preterm birth)	Spontaneous preterm birth (preterm birth)	Other trait
11185	GCST008753	Early spontaneous preterm birth	Early spontaneous preterm birth	Other trait
11186	GCST008752	Post-term birth	Post-term birth	Other measurement
11187	GCST008752	Post-term birth	Post-term birth	Other measurement
11188	GCST008751	Gestational age at birth (child effect)	Gestational age at birth (child effect)	Other measurement
11189	GCST008751	Gestational age at birth (child effect)	Gestational age at birth (child effect)	Other measurement
11190	GCST009145	Total cholesterol levels	Total cholesterol levels	Lipid or lipoprotein measurement
11191	GCST009146	Total cholesterol levels	Total cholesterol levels	Lipid or lipoprotein measurement
11192	GCST009147	Low density lipoprotein cholesterol levels	Low density lipoprotein cholesterol levels	Lipid or lipoprotein measurement
11193	GCST009148	High density lipoprotein cholesterol levels	High density lipoprotein cholesterol levels	Lipid or lipoprotein measurement
11194	GCST009149	Triglyceride levels	Triglyceride levels	Lipid or lipoprotein measurement
11195	GCST009150	Low density lipoprotein cholesterol levels	Low density lipoprotein cholesterol levels	Lipid or lipoprotein measurement
11196	GCST009151	High density lipoprotein cholesterol levels	High density lipoprotein cholesterol levels	Lipid or lipoprotein measurement
11197	GCST009152	Triglyceride levels	Triglyceride levels	Lipid or lipoprotein measurement
11198	GCST007278	Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	Neurological disorder
11199	GCST007278	Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	Immune system disorder
11200	GCST007278	Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	Immune system disorder
11201	GCST007278	Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	Immune system disorder
11202	GCST007631	Hepatitis C (spontaneous viral clearance)	Hepatitis C (spontaneous viral clearance)	Other trait
11203	GCST007631	Hepatitis C (spontaneous viral clearance)	Hepatitis C (spontaneous viral clearance)	Digestive system disorder
11204	GCST007632	Hepatitis C (spontaneous viral clearance)	Hepatitis C (spontaneous viral clearance)	Other trait
11205	GCST007632	Hepatitis C (spontaneous viral clearance)	Hepatitis C (spontaneous viral clearance)	Digestive system disorder
11206	GCST007633	Hepatitis C (spontaneous viral clearance)	Hepatitis C (spontaneous viral clearance)	Other trait
11207	GCST007633	Hepatitis C (spontaneous viral clearance)	Hepatitis C (spontaneous viral clearance)	Digestive system disorder
11208	GCST007634	Hepatitis C (spontaneous viral clearance)	Hepatitis C (spontaneous viral clearance)	Other trait
11209	GCST007634	Hepatitis C (spontaneous viral clearance)	Hepatitis C (spontaneous viral clearance)	Digestive system disorder
11210	GCST008678	HDL cholesterol levels x smoking (current vs non smokers) interaction (2df test)	HDL cholesterol levels x smoking (current vs non smokers) interaction (2df test)	Other measurement
11211	GCST008678	HDL cholesterol levels x smoking (current vs non smokers) interaction (2df test)	HDL cholesterol levels x smoking (current vs non smokers) interaction (2df test)	Lipid or lipoprotein measurement
11212	GCST008679	HDL cholesterol levels in current smokers	HDL cholesterol levels in current smokers	Other measurement
11213	GCST008679	HDL cholesterol levels in current smokers	HDL cholesterol levels in current smokers	Lipid or lipoprotein measurement
11214	GCST008680	HDL cholesterol levels in non smokers	HDL cholesterol levels in non smokers	Other measurement
11215	GCST008680	HDL cholesterol levels in non smokers	HDL cholesterol levels in non smokers	Lipid or lipoprotein measurement
11216	GCST008681	HDL cholesterol levels x smoking (ever vs never smokers) interaction (1df test)	HDL cholesterol levels x smoking (ever vs never smokers) interaction (1df test)	Other measurement
11217	GCST008681	HDL cholesterol levels x smoking (ever vs never smokers) interaction (1df test)	HDL cholesterol levels x smoking (ever vs never smokers) interaction (1df test)	Lipid or lipoprotein measurement
11218	GCST008682	HDL cholesterol levels x smoking (ever vs never smokers) interaction (2df test)	HDL cholesterol levels x smoking (ever vs never smokers) interaction (2df test)	Other measurement
11219	GCST008682	HDL cholesterol levels x smoking (ever vs never smokers) interaction (2df test)	HDL cholesterol levels x smoking (ever vs never smokers) interaction (2df test)	Lipid or lipoprotein measurement
11220	GCST008683	HDL cholesterol levels in ever smokers	HDL cholesterol levels in ever smokers	Other measurement
11221	GCST008683	HDL cholesterol levels in ever smokers	HDL cholesterol levels in ever smokers	Lipid or lipoprotein measurement
11222	GCST008684	HDL cholesterol levels in never smokers	HDL cholesterol levels in never smokers	Other measurement
11223	GCST008684	HDL cholesterol levels in never smokers	HDL cholesterol levels in never smokers	Lipid or lipoprotein measurement
11224	GCST008685	HDL cholesterol levels	HDL cholesterol levels	Lipid or lipoprotein measurement
11225	GCST008686	LDL cholesterol levels x smoking (current vs non smokers) interaction (1df test)	LDL cholesterol levels x smoking (current vs non smokers) interaction (1df test)	Other measurement
11226	GCST008686	LDL cholesterol levels x smoking (current vs non smokers) interaction (1df test)	LDL cholesterol levels x smoking (current vs non smokers) interaction (1df test)	Lipid or lipoprotein measurement
11227	GCST008687	LDL cholesterol levels x smoking (current vs non smokers) interaction (2df test)	LDL cholesterol levels x smoking (current vs non smokers) interaction (2df test)	Other measurement
11228	GCST008687	LDL cholesterol levels x smoking (current vs non smokers) interaction (2df test)	LDL cholesterol levels x smoking (current vs non smokers) interaction (2df test)	Lipid or lipoprotein measurement
11229	GCST008688	LDL cholesterol levels in current smokers	LDL cholesterol levels in current smokers	Other measurement
11230	GCST008688	LDL cholesterol levels in current smokers	LDL cholesterol levels in current smokers	Lipid or lipoprotein measurement
11231	GCST008689	LDL cholesterol levels in non smokers	LDL cholesterol levels in non smokers	Other measurement
11232	GCST008689	LDL cholesterol levels in non smokers	LDL cholesterol levels in non smokers	Lipid or lipoprotein measurement
11233	GCST008690	LDL cholesterol levels x smoking (ever vs never smokers) interaction (1df test)	LDL cholesterol levels x smoking (ever vs never smokers) interaction (1df test)	Other measurement
11234	GCST008690	LDL cholesterol levels x smoking (ever vs never smokers) interaction (1df test)	LDL cholesterol levels x smoking (ever vs never smokers) interaction (1df test)	Lipid or lipoprotein measurement
11235	GCST008691	LDL cholesterol levels x smoking (ever vs never smokers) interaction (2df test)	LDL cholesterol levels x smoking (ever vs never smokers) interaction (2df test)	Other measurement
11236	GCST008691	LDL cholesterol levels x smoking (ever vs never smokers) interaction (2df test)	LDL cholesterol levels x smoking (ever vs never smokers) interaction (2df test)	Lipid or lipoprotein measurement
11237	GCST008692	LDL cholesterol levels in ever smokers	LDL cholesterol levels in ever smokers	Other measurement
11238	GCST008692	LDL cholesterol levels in ever smokers	LDL cholesterol levels in ever smokers	Lipid or lipoprotein measurement
11239	GCST008693	LDL cholesterol levels in never smokers	LDL cholesterol levels in never smokers	Other measurement
11240	GCST008693	LDL cholesterol levels in never smokers	LDL cholesterol levels in never smokers	Lipid or lipoprotein measurement
11241	GCST008676	LDL cholesterol levels	LDL cholesterol levels	Lipid or lipoprotein measurement
11242	GCST008676	LDL cholesterol levels	LDL cholesterol levels	Lipid or lipoprotein measurement
11243	GCST008694	Triglyceride levels x smoking (current vs non smokers) interaction (1df test)	Triglyceride levels x smoking (current vs non smokers) interaction (1df test)	Other measurement
11244	GCST008694	Triglyceride levels x smoking (current vs non smokers) interaction (1df test)	Triglyceride levels x smoking (current vs non smokers) interaction (1df test)	Lipid or lipoprotein measurement
11245	GCST008695	Triglyceride levels x smoking (current vs non smokers) interaction (2df test)	Triglyceride levels x smoking (current vs non smokers) interaction (2df test)	Other measurement
11246	GCST008695	Triglyceride levels x smoking (current vs non smokers) interaction (2df test)	Triglyceride levels x smoking (current vs non smokers) interaction (2df test)	Lipid or lipoprotein measurement
11247	GCST008696	Triglyceride levels in current smokers	Triglyceride levels in current smokers	Other measurement
11248	GCST008696	Triglyceride levels in current smokers	Triglyceride levels in current smokers	Lipid or lipoprotein measurement
11249	GCST008697	Triglyceride levels in non smokers	Triglyceride levels in non smokers	Other measurement
11250	GCST008697	Triglyceride levels in non smokers	Triglyceride levels in non smokers	Lipid or lipoprotein measurement
11251	GCST008698	Triglyceride levels x smoking (ever vs never smokers) interaction (2df test)	Triglyceride levels x smoking (ever vs never smokers) interaction (2df test)	Other measurement
11252	GCST008698	Triglyceride levels x smoking (ever vs never smokers) interaction (2df test)	Triglyceride levels x smoking (ever vs never smokers) interaction (2df test)	Lipid or lipoprotein measurement
11253	GCST008699	Triglyceride levels x smoking (ever vs never smokers) interaction (1df test)	Triglyceride levels x smoking (ever vs never smokers) interaction (1df test)	Other measurement
11254	GCST008699	Triglyceride levels x smoking (ever vs never smokers) interaction (1df test)	Triglyceride levels x smoking (ever vs never smokers) interaction (1df test)	Lipid or lipoprotein measurement
11255	GCST008700	Triglyceride levels in ever smokers	Triglyceride levels in ever smokers	Other measurement
11256	GCST008700	Triglyceride levels in ever smokers	Triglyceride levels in ever smokers	Lipid or lipoprotein measurement
11257	GCST008701	Triglyceride levels in never smokers	Triglyceride levels in never smokers	Other measurement
11258	GCST008701	Triglyceride levels in never smokers	Triglyceride levels in never smokers	Lipid or lipoprotein measurement
11259	GCST008702	Triglyceride levels	Triglyceride levels	Lipid or lipoprotein measurement
11260	GCST008677	HDL cholesterol levels x smoking (current vs non smokers) interaction (1df test)	HDL cholesterol levels x smoking (current vs non smokers) interaction (1df test)	Other measurement
11261	GCST008677	HDL cholesterol levels x smoking (current vs non smokers) interaction (1df test)	HDL cholesterol levels x smoking (current vs non smokers) interaction (1df test)	Lipid or lipoprotein measurement
11262	GCST007292	Diabetic retinopathy (all NPDR and PDR)	Diabetic retinopathy (all NPDR and PDR)	Metabolic disorder
11263	GCST007289	Proliferative diabetic retinopathy (vs NPDR and no DR)	Proliferative diabetic retinopathy (vs NPDR and no DR)	Metabolic disorder
11264	GCST007290	Diabetic retinopathy (moderate NPDR and PDR)	Diabetic retinopathy (moderate NPDR and PDR)	Metabolic disorder
11265	GCST007291	Proliferative diabetic retinopathy (vs no DR)	Proliferative diabetic retinopathy (vs no DR)	Metabolic disorder
11266	GCST007452	Skin pigmentation	Skin pigmentation	Other trait
11267	GCST007452	Skin pigmentation	Skin pigmentation	Other measurement
11268	GCST007457	Eye color (saturation)	Eye color (saturation)	Other measurement
11269	GCST007453	Eye color	Eye color	Other measurement
11270	GCST007453	Eye color	Eye color	Other trait
11271	GCST007454	Hair color	Hair color	Other measurement
11272	GCST007454	Hair color	Hair color	Other trait
11273	GCST007455	Eye color (brightness)	Eye color (brightness)	Other measurement
11274	GCST007456	Eye color (hue)	Eye color (hue)	Other measurement
11275	GCST007451	Skin, hair and eye pigmentation (multivariate analysis)	Skin, hair and eye pigmentation (multivariate analysis)	Other measurement
11276	GCST007451	Skin, hair and eye pigmentation (multivariate analysis)	Skin, hair and eye pigmentation (multivariate analysis)	Other measurement
11277	GCST007451	Skin, hair and eye pigmentation (multivariate analysis)	Skin, hair and eye pigmentation (multivariate analysis)	Other measurement
11278	GCST008516	Skin pigmentation (conditioned on rs1426654 and rs35397)	Skin pigmentation (conditioned on rs1426654 and rs35397)	Other measurement
11279	GCST008518	Skin pigmentation	Skin pigmentation	Other trait
11280	GCST008518	Skin pigmentation	Skin pigmentation	Other measurement
11281	GCST008519	Skin pigmentation	Skin pigmentation	Other trait
11282	GCST008519	Skin pigmentation	Skin pigmentation	Other measurement
11283	GCST008104	Nucleoside diphosphate kinase A levels in hepatocellular carcinoma	Nucleoside diphosphate kinase A levels in hepatocellular carcinoma	Other measurement
11284	GCST008104	Nucleoside diphosphate kinase A levels in hepatocellular carcinoma	Nucleoside diphosphate kinase A levels in hepatocellular carcinoma	Cancer
11285	GCST009130	Hospital contact for infections	Hospital contact for infections	Other measurement
11286	GCST007781	Bipolar disorder or intelligence (pleiotropy)	Bipolar disorder or intelligence (pleiotropy)	Biological process
11287	GCST007781	Bipolar disorder or intelligence (pleiotropy)	Bipolar disorder or intelligence (pleiotropy)	Neurological disorder
11288	GCST007782	Schizophrenia or intelligence (pleiotropy)	Schizophrenia or intelligence (pleiotropy)	Biological process
11289	GCST007782	Schizophrenia or intelligence (pleiotropy)	Schizophrenia or intelligence (pleiotropy)	Neurological disorder
11290	GCST007382	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Other measurement
11291	GCST007382	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Other measurement
11292	GCST007382	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Other measurement
11293	GCST007382	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Other measurement
11294	GCST007382	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Other measurement
11295	GCST007382	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Other measurement
11296	GCST007382	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Other measurement
11297	GCST007382	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Other measurement
11298	GCST007382	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Other measurement
11299	GCST007382	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Other measurement
11300	GCST007382	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Plasma free amino acid levels (adjusted for twenty other PFAAs)	Other measurement
11301	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11302	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11303	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11304	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11305	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11306	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11307	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11308	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11309	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11310	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11311	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11312	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11313	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11314	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11315	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11316	GCST007383	Plasma free amino acid levels (adjusted for one other PFAA)	Plasma free amino acid levels (adjusted for one other PFAA)	Other measurement
11317	GCST007384	Plasma free proline levels	Plasma free proline levels	Other measurement
11318	GCST007386	Plasma free asparagine levels	Plasma free asparagine levels	Other measurement
11319	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11320	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11321	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11322	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11323	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11324	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11325	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11326	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11327	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11328	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11329	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11330	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11331	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11332	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11333	GCST007385	Plasma free amino acid levels	Plasma free amino acid levels	Other measurement
11334	GCST007250	Nonunion in individuals with fractures	Nonunion in individuals with fractures	Other disease
11335	GCST007250	Nonunion in individuals with fractures	Nonunion in individuals with fractures	Other disease
11336	GCST007282	HDL cholesterol x physical activity interaction (2df test)	HDL cholesterol x physical activity interaction (2df test)	Lipid or lipoprotein measurement
11337	GCST007282	HDL cholesterol x physical activity interaction (2df test)	HDL cholesterol x physical activity interaction (2df test)	Biological process
11338	GCST007284	LDL cholesterol x physical activity interaction (2df test)	LDL cholesterol x physical activity interaction (2df test)	Lipid or lipoprotein measurement
11339	GCST007284	LDL cholesterol x physical activity interaction (2df test)	LDL cholesterol x physical activity interaction (2df test)	Biological process
11340	GCST007286	Triglycerides x physical activity interaction (2df test)	Triglycerides x physical activity interaction (2df test)	Lipid or lipoprotein measurement
11341	GCST007286	Triglycerides x physical activity interaction (2df test)	Triglycerides x physical activity interaction (2df test)	Biological process
11342	GCST007283	LDL cholesterol x physical activity interaction (1df test)	LDL cholesterol x physical activity interaction (1df test)	Lipid or lipoprotein measurement
11343	GCST007283	LDL cholesterol x physical activity interaction (1df test)	LDL cholesterol x physical activity interaction (1df test)	Biological process
11344	GCST007281	HDL cholesterol x physical activity interaction (1df test)	HDL cholesterol x physical activity interaction (1df test)	Lipid or lipoprotein measurement
11345	GCST007281	HDL cholesterol x physical activity interaction (1df test)	HDL cholesterol x physical activity interaction (1df test)	Biological process
11346	GCST007285	Triglycerides x physical activity interaction (1df test)	Triglycerides x physical activity interaction (1df test)	Lipid or lipoprotein measurement
11347	GCST007285	Triglycerides x physical activity interaction (1df test)	Triglycerides x physical activity interaction (1df test)	Biological process
11348	GCST007157	Corneal astigmatism	Corneal astigmatism	Neurological disorder
11349	GCST007157	Corneal astigmatism	Corneal astigmatism	Other trait
11350	GCST007158	Refractive astigmatism	Refractive astigmatism	Other trait
11351	GCST007159	Corneal astigmatism	Corneal astigmatism	Neurological disorder
11352	GCST007159	Corneal astigmatism	Corneal astigmatism	Other trait
11353	GCST007160	Refractive astigmatism	Refractive astigmatism	Other trait
11354	GCST009172	Response to (pegylated) interferon in HBeAg-negative hepatitis B	Response to (pegylated) interferon in HBeAg-negative hepatitis B	Response to drug
11355	GCST009172	Response to (pegylated) interferon in HBeAg-negative hepatitis B	Response to (pegylated) interferon in HBeAg-negative hepatitis B	Digestive system disorder
11356	GCST009173	Response to (pegylated) interferon in HBeAG-positive hepatitis B	Response to (pegylated) interferon in HBeAG-positive hepatitis B	Response to drug
11357	GCST009173	Response to (pegylated) interferon in HBeAG-positive hepatitis B	Response to (pegylated) interferon in HBeAG-positive hepatitis B	Digestive system disorder
11358	GCST009174	Response to (pegylated) interferon in chronic hepatitis B	Response to (pegylated) interferon in chronic hepatitis B	Response to drug
11359	GCST009174	Response to (pegylated) interferon in chronic hepatitis B	Response to (pegylated) interferon in chronic hepatitis B	Digestive system disorder
11360	GCST005746	Hepatocellular carcinoma in hepatitis B infection	Hepatocellular carcinoma in hepatitis B infection	Digestive system disorder
11361	GCST005746	Hepatocellular carcinoma in hepatitis B infection	Hepatocellular carcinoma in hepatitis B infection	Cancer
11362	GCST006541	Axial length	Axial length	Other measurement
11363	GCST006539	Spherical error	Spherical error	Other measurement
11364	GCST006864	Axial length or spherical error (univariate decomposition analysis)	Axial length or spherical error (univariate decomposition analysis)	Other measurement
11365	GCST006864	Axial length or spherical error (univariate decomposition analysis)	Axial length or spherical error (univariate decomposition analysis)	Other measurement
11366	GCST008641	C-peptide levels	C-peptide levels	Other measurement
11367	GCST005908	Height	Height	Other measurement
11368	GCST005908	Height	Height	Body measurement
11369	GCST008603	Total body bone mineral density (MTAG)	Total body bone mineral density (MTAG)	Other measurement
11370	GCST008602	Heel bone mineral density (MTAG)	Heel bone mineral density (MTAG)	Other measurement
11371	GCST005576	Intracranial aneurysm	Intracranial aneurysm	Cardiovascular disease
11372	GCST007423	Clinical remission in asthma	Clinical remission in asthma	Other disease
11373	GCST007423	Clinical remission in asthma	Clinical remission in asthma	Other trait
11374	GCST007424	Complete remission in asthma	Complete remission in asthma	Other disease
11375	GCST007424	Complete remission in asthma	Complete remission in asthma	Other trait
11376	GCST005938	Maximum cranial length	Maximum cranial length	Other measurement
11377	GCST005939	Cephalic index	Cephalic index	Other measurement
11378	GCST005940	Maximum cranial width	Maximum cranial width	Other measurement
11379	GCST006391	Chronic kidney disease	Chronic kidney disease	Other disease
11380	GCST006391	Chronic kidney disease	Chronic kidney disease	Other measurement
11381	GCST006391	Chronic kidney disease	Chronic kidney disease	Other measurement
11382	GCST006392	Estimated glomerular filtration rate	Estimated glomerular filtration rate	Other measurement
11383	GCST006393	Serum creatinine levels	Serum creatinine levels	Other measurement
11384	GCST006404	Glycemic traits (multi-trait analysis)	Glycemic traits (multi-trait analysis)	Other measurement
11385	GCST006404	Glycemic traits (multi-trait analysis)	Glycemic traits (multi-trait analysis)	Other measurement
11386	GCST006404	Glycemic traits (multi-trait analysis)	Glycemic traits (multi-trait analysis)	Other measurement
11387	GCST005928	Refractory celiac disease type II	Refractory celiac disease type II	Digestive system disorder
11388	GCST006272	Hirschsprung disease	Hirschsprung disease	Digestive system disorder
11389	GCST006271	Hirschsprung disease	Hirschsprung disease	Digestive system disorder
11390	GCST006246	Childhood steroid-sensitive nephrotic syndrome	Childhood steroid-sensitive nephrotic syndrome	Other disease
11391	GCST006253	Short-term memory (digit-span task)	Short-term memory (digit-span task)	Biological process
11392	GCST006253	Short-term memory (digit-span task)	Short-term memory (digit-span task)	Other measurement
11393	GCST006254	Short-term memory (visuospatial task)	Short-term memory (visuospatial task)	Other measurement
11394	GCST006255	Short-term memory (shared component of digit-span and visuospatial tasks)	Short-term memory (shared component of digit-span and visuospatial tasks)	Other measurement
11395	GCST006256	Long-term memory (delayed word recall task)	Long-term memory (delayed word recall task)	Other measurement
11396	GCST006080	Prostate cancer aggressiveness (high vs low)	Prostate cancer aggressiveness (high vs low)	Cancer
11397	GCST006082	Prostate cancer aggressiveness (high vs low/intermediate)	Prostate cancer aggressiveness (high vs low/intermediate)	Cancer
11398	GCST006081	Prostate cancer (advanced vs non-advanced)	Prostate cancer (advanced vs non-advanced)	Cancer
11399	GCST006083	Prostate cancer (advanced)	Prostate cancer (advanced)	Cancer
11400	GCST006089	Prostate cancer (early onset)	Prostate cancer (early onset)	Cancer
11401	GCST006084	Prostate cancer (Gleason score)	Prostate cancer (Gleason score)	Cancer
11402	GCST006085	Prostate cancer	Prostate cancer	Cancer
11403	GCST005791	Creatinine levels	Creatinine levels	Other measurement
11404	GCST005792	Glomerular filtration rate	Glomerular filtration rate	Other measurement
11405	GCST005793	Uric acid levels	Uric acid levels	Cardiovascular measurement
11406	GCST005794	Blood urea nitrogen levels	Blood urea nitrogen levels	Other measurement
11407	GCST005870	Meningioma	Meningioma	Cancer
11408	GCST007267	Systolic blood pressure	Systolic blood pressure	Other measurement
11409	GCST007267	Systolic blood pressure	Systolic blood pressure	Other measurement
11410	GCST007268	Diastolic blood pressure	Diastolic blood pressure	Other measurement
11411	GCST007268	Diastolic blood pressure	Diastolic blood pressure	Other measurement
11412	GCST007269	Pulse pressure	Pulse pressure	Cardiovascular measurement
11413	GCST007270	Systolic blood pressure	Systolic blood pressure	Other measurement
11414	GCST007270	Systolic blood pressure	Systolic blood pressure	Other measurement
11415	GCST007271	Diastolic blood pressure	Diastolic blood pressure	Other measurement
11416	GCST007271	Diastolic blood pressure	Diastolic blood pressure	Other measurement
11417	GCST007272	Pulse pressure	Pulse pressure	Cardiovascular measurement
11418	GCST006196	Type 1 diabetes in high risk HLA genotype individuals (time to event)	Type 1 diabetes in high risk HLA genotype individuals (time to event)	Other measurement
11419	GCST006196	Type 1 diabetes in high risk HLA genotype individuals (time to event)	Type 1 diabetes in high risk HLA genotype individuals (time to event)	Metabolic disorder
11420	GCST006196	Type 1 diabetes in high risk HLA genotype individuals (time to event)	Type 1 diabetes in high risk HLA genotype individuals (time to event)	Other measurement
11421	GCST006197	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	Other measurement
11422	GCST006197	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	Other measurement
11423	GCST006197	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	Metabolic disorder
11424	GCST006197	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	Other measurement
11425	GCST006289	Spherical equivalent	Spherical equivalent	Other measurement
11426	GCST006290	Myopia (age of diagnosis)	Myopia (age of diagnosis)	Other measurement
11427	GCST006290	Myopia (age of diagnosis)	Myopia (age of diagnosis)	Other trait
11428	GCST006291	Spherical equivalent or myopia (age of diagnosis)	Spherical equivalent or myopia (age of diagnosis)	Other measurement
11429	GCST006291	Spherical equivalent or myopia (age of diagnosis)	Spherical equivalent or myopia (age of diagnosis)	Other measurement
11430	GCST006291	Spherical equivalent or myopia (age of diagnosis)	Spherical equivalent or myopia (age of diagnosis)	Other trait
11431	GCST006091	Freckles	Freckles	Other trait
11432	GCST006092	Double-edged eyelids	Double-edged eyelids	Other measurement
11433	GCST006093	Thick vs thin eyebrows	Thick vs thin eyebrows	Other measurement
